Ship Draw,Lerp Draw,PM Draw,PE Draw
0.000690363,2.67105e-005,0,0.107754
0.000642284,2.3423e-005,4.1093e-007,0.105626
0.000611053,2.21902e-005,4.1093e-007,0.103925
0.000637353,2.3423e-005,0,0.104788
0.000634065,2.3423e-005,4.1093e-007,0.104324
0.000598725,2.17793e-005,4.1093e-007,0.1058
0.00132361,3.61618e-005,4.1093e-007,0.107558
0.000637763,2.3423e-005,0,0.106297
0.000654612,2.9587e-005,0,0.107251
0.000638996,2.3423e-005,4.1093e-007,0.105092
0.000622559,2.17793e-005,4.1093e-007,0.105372
0.000620504,2.21902e-005,0,0.105246
0.000638996,2.3423e-005,4.1093e-007,0.10569
0.000667761,2.30121e-005,4.1093e-007,0.104631
0.000642284,2.3423e-005,4.1093e-007,0.104681
0.000600369,2.17793e-005,4.1093e-007,0.103848
0.000634887,2.17793e-005,4.1093e-007,0.104384
0.00063612,2.30121e-005,4.1093e-007,0.10433
0.000672693,3.08198e-005,4.1093e-007,0.1047
